INFO  - 2015-01-24 00:13:39.271; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2015-01-24 00:13:39.893; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-01-24 00:13:39.940; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-01-24 00:13:40.304; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/
INFO  - 2015-01-24 00:13:40.345; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-01-24 00:13:40.353; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/, dataDir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/
INFO  - 2015-01-24 00:13:40.381; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-01-24 00:13:40.387; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-01-24 00:13:40.387; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-01-24 00:13:40.442; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data
INFO  - 2015-01-24 00:13:40.470; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/index/
WARN  - 2015-01-24 00:13:40.471; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-01-24 00:13:40.480; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/index
INFO  - 2015-01-24 00:13:40.580; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-01-24 00:13:40.580; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
